-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0.0099	809	0	15	7	8	12	9	35	49	48	60	53	51	47	56	99	180	80
0.00645	2823	0	2	12	175	221	269	370	213	316	55	403	59	90	170	168	197	103
0.00851	1975	0	0	3	41	23	555	126	81	56	15	36	265	116	341	100	139	78
0.00721	3891	0	3	0	54	47	16	48	204	792	55	338	1879	192	73	30	52	108
0.00211	981	0	1	0	2	177	10	42	17	46	22	46	54	94	189	67	187	27
0.00382	1454	22	3	8	216	59	67	92	61	151	77	75	49	110	116	117	154	77
0.02392	493	1	0	2	66	9	19	22	35	36	15	20	5	62	25	52	74	50
0.00779	3861	11	188	71	133	310	235	174	392	288	241	292	296	374	169	232	307	148
0.01268	1064	0	7	4	51	19	59	34	119	220	39	63	78	77	106	27	98	63
0.00437	2781	0	2	5	18	111	451	333	268	114	89	177	167	205	115	73	378	275
0.00472	5092	4	25	287	477	395	532	1054	237	169	91	88	258	367	115	155	381	457
0.01015	2852	0	4	2	433	111	374	172	234	205	265	231	262	67	121	167	101	103
0.00326	6715	8	3	22	120	37	101	211	507	1170	906	940	544	365	196	371	793	421
0.00537	4807	0	0	0	0	11	43	117	94	451	692	497	542	515	277	354	623	591
0.00653	2516	0	0	0	14	3	2	94	81	196	96	65	199	85	222	265	632	562
0.00743	4792	23	2	0	33	78	234	113	128	139	224	832	188	337	529	658	652	622
0.0095	2672	161	28	60	175	243	148	571	301	283	87	59	67	80	109	79	76	145
0.00761	4526	10	4	1	87	130	202	109	166	435	400	470	343	695	213	270	528	463
0.00672	7974	20	1	8	19	69	180	467	883	300	313	2034	1005	288	419	237	544	1187
0.00735	932	1	4	1	22	12	27	65	33	92	44	50	81	88	88	99	100	125
0.00389	3882	0	11	47	71	17	289	666	166	195	455	551	257	269	249	120	257	262
0.0071	2074	0	4	1	70	109	29	39	97	315	125	97	200	142	58	178	365	245
0.00747	2798	0	1	64	150	47	76	62	80	99	55	70	113	451	58	915	217	340
0.00665	10617	0	7	1	128	47	202	87	377	1030	873	452	1098	1609	1796	1591	805	514
0.00775	8691	185	8	1	80	11	130	103	78	422	321	909	703	489	443	336	1710	2762
0.00402	2183	3	6	88	12	50	50	130	185	308	260	136	124	61	298	137	122	213
0.00692	4657	0	7	1	250	226	106	175	580	263	97	143	233	331	231	1087	738	189
0.00268	1674	4	0	13	11	21	143	158	113	70	83	157	150	206	219	49	80	197
0.01717	10720	73	42	78	2657	626	2058	628	559	540	162	119	288	257	185	121	476	1851
0.01285	10092	2	36	34	37	63	308	799	1411	2098	1311	840	918	355	495	359	600	426
0.0059	5586	89	101	337	253	571	330	615	445	381	561	1025	76	41	34	83	465	179
