Topic size
Topic alpha value
Topic 118 ['greek', 'ancient', 'classics', 'western']
Topic 119 ['law', 'act', 'rights', 'laws']
Topic 120 ['women', 'men', 'female', 'male']
Topic 121 ['water', 'fire', 'oil', 'gas']
Topic 122 ['death', 'killed', 'people', 'died']
Topic 123 ['israel', 'muslim', 'israeli', 'arab']
Topic 124 ['credit', 'loans', 'bank', 'loan']
Topic 125 ['zergnet', 'widget', 'left', 'margin']
Topic 126 ['chicago', 'nov', 'festival', 'wiki__chicago_humanities_festival__lqiafqe']
Topic 127 ['connecticut', 'hartford', 'new', 'wiki__west_hartford__connecticut__zsbqef']
Topic 128 ['garden', 'gardens', 'trees', 'plants']
Topic 129 ['students', 'learning', 'online', 'teaching']
Topic 130 ['people', 'government', 'immigration', 'country']
Topic 131 ['chapel', 'omaha', 'center', 'west']
Topic 132 ['college', 'school', 'business', 'graduate']
Topic 133 ['lecture', 'conference', 'event', 'series']
Topic 134 ['arts', 'nea', 'endowment', 'funding']
Topic 135 ['nebraska', 'omaha', 'graduates', 'commencement']
Topic 136 ['view', 'news', 'sample', 'email']
Topic 137 ['life', 'world', 'love', 'book']
Topic 138 ['tickets', 'www', 'saturday', 'wiki__october__zzeez']
Topic 139 ['community', 'new', 'work', 'leadership']
Topic 140 ['annapolis', 'free', 'mail', 'maryland']
Topic 141 ['human', 'science', 'evolution', 'nature']
Topic 142 ['boston', 'new', 'hampshire', 'massachusetts']
Topic 143 ['human', 'brain', 'science', 'mind']
Topic 144 ['year', 'years', 'new', 'people']
Topic 145 ['arizona', 'asu', 'phoenix', 'gilbert']
Topic 146 ['museum', 'history', 'exhibit', 'collection']
Topic 147 ['faculty', 'graduate', 'students', 'professors']
Topic 148 ['people', 'don', 'know', 'good']
Topic 149 ['research', 'university', 'wiki__humanities__seiez', 'work']
Topic 150 ['science', 'research', 'scientists', 'scientific']
Topic 151 ['saturdays', 'sundays', 'org', 'fridays']
Topic 152 ['environmental', 'climate', 'energy', 'change']
Topic 153 ['president', 'white', 'trump', 'house']
Topic 154 ['editor', 'news', 'magazine', 'times']
Topic 155 ['oregon', 'portland', 'town', 'council']
Topic 156 ['game', 'team', 'games', 'coach']
Topic 157 ['book', 'books', 'writing', 'author']
Topic 158 ['film', 'movie', 'story', 'drama']
Topic 159 ['university', 'universities', 'school', 'state']
Topic 160 ['award', 'awards', 'oklahoma', 'received']
Topic 161 ['wiki__disability__sbzas', 'mitchell', 'disability', 'deaf']
Topic 162 ['camp', 'june', 'ages', 'july']
Topic 163 ['story', 'novel', 'book', 'stories']
Topic 164 ['president', 'party', 'republican', 'trump']
Topic 165 ['won', 'scored', 'queens', 'boys']
Topic 166 ['day', 'time', 'week', 'hours']
Topic 167 ['community', 'program', 'children', 'center']
Topic 168 ['city', 'council', 'commission', 'mayor']
Topic 169 ['drug', 'violence', 'prison', 'sexual']
Topic 170 ['block', 'road', 'residential', 'drive']
Topic 171 ['building', 'new', 'campus', 'center']
Topic 172 ['political', 'government', 'rights', 'people']
Topic 173 ['china', 'chinese', 'india', 'asian']
Topic 174 ['age', 'survived', 'church', 'grandchildren']
Topic 175 ['japanese', 'japan', 'lee', 'cuba']
Topic 176 ['sports', 'team', 'football', 'baseball']
Topic 177 ['library', 'books', 'libraries', 'collection']
Topic 178 ['park', 'tour', 'walk', 'trip']
Topic 179 ['students', 'test', 'math', 'scores']
Topic 180 ['board', 'member', 'president', 'served']
Topic 181 ['work', 'great', 'time', 'century']
Topic 182 ['france', 'europe', 'italy', 'french']
Topic 183 ['school', 'schools', 'district', 'students']
Topic 184 ['time', 'money', 'year', 'years']
Topic 185 ['social', 'world', 'culture', 'cultural']
Topic 186 ['war', 'world', 'iraq', 'vietnam']
Topic 187 ['island', 'long', 'brook', 'stony']
Topic 188 ['south', 'ave', 'free', 'uab']
Topic 189 ['christmas', 'holiday', 'tickets', 'benefit']
Topic 190 ['pay', 'money', 'tax', 'percent']
Topic 191 ['rose', 'charlie', 'know', 'watson']
Topic 192 ['house', 'bill', 'senate', 'congress']
Topic 193 ['journal', 'contact', 'submissions', 'publication']
Topic 194 ['alaska', 'anchorage', 'indiana', 'indianapolis']
Topic 195 ['montana', 'cost', 'visit', 'features']
Topic 196 ['indian', 'native', 'american', 'maine']
Topic 197 ['jewish', 'jews', 'holocaust', 'wiki__the_holocaust__ioeqblqe']
Topic 198 ['michael', 'elizabeth', 'taylor', 'marie']
Topic 199 ['group', 'members', 'people', 'community']
Topic 200 ['murphy', 'horse', 'race', 'hayes']
Topic 201 ['louis', 'saturday', 'road', 'missouri']
Topic 202 ['arts', 'art', 'center', 'cultural']
Topic 203 ['died', 'washington', 'mrs', 'retired']
Topic 204 ['black', 'african', 'american', 'white']
Topic 205 ['state', 'governor', 'board', 'new']
Topic 206 ['students', 'college', 'school', 'high']
Topic 207 ['united', 'international', 'countries', 'states']
Topic 208 ['book', 'novel', 'read', 'literary']
Topic 209 ['volunteers', 'needed', 'org', 'alaska']
Topic 210 ['faculty', 'committee', 'members', 'meeting']
Topic 211 ['land', 'years', 'farm', 'found']
Topic 212 ['years', 'time', 'work', 'wanted']
Topic 213 ['school', 'elementary', 'middle', 'high']
Topic 214 ['police', 'officers', 'man', 'officer']
Topic 215 ['survived', 'passed', 'denver', 'family']
Topic 216 ['million', 'billion', 'budget', 'funding']
Topic 217 ['school', 'favorite', 'college', 'time']
Topic 218 ['wiki__professor__iblaoo', 'professor', 'university', 'department']
Topic 219 ['new', 'coast', 'ship', 'sea']
Topic 220 ['people', 'political', 'fact', 'truth']
Topic 221 ['chicago', 'illinois', 'elem', 'park']
Topic 222 ['education', 'humanities', 'knowledge', 'world']
Topic 223 ['smith', 'miller', 'wisconsin', 'madison']
Topic 224 ['health', 'care', 'insurance', 'social']
Topic 225 ['new_jersey', 'center', 'org', 'newark']
Topic 226 ['technology', 'computer', 'new', 'digital']
Topic 227 ['literature', 'literary', 'book', 'english']
Topic 228 ['grandchildren', 'wife', 'husband', 'great']
Topic 229 ['degree', 'university', 'master', 'years']
Topic 230 ['know', 'don', 'people', 'lot']
Topic 231 ['college', 'program', 'programs', 'degree']
Topic 232 ['dallas', 'texas', 'major', 'university']
Topic 233 ['free', 'rockville', 'county', 'montgomery']
Topic 234 ['philosophy', 'theory', 'philosopher', 'philosophers']
Topic 235 ['years', 'ago', 'time', 'new']
Topic 236 ['los', 'california', 'angeles', 'idaho']
Topic 237 ['research', 'applications', 'org', 'contact']
Topic 238 ['competition', 'place', 'contest', 'students']
Topic 239 ['baton', 'rouge', 'orleans', 'new']
Topic 240 ['star', 'actor', 'hollywood', 'movie']
Topic 241 ['president', 'bush', 'house', 'wiki__bill_clinton__eesb']
Topic 242 ['fox', 'news', 'events', 'network']
Topic 243 ['million', 'foundation', 'fund', 'money']
Topic 244 ['year', 'business', 'growth', 'market']
Topic 245 ['suny', 'poly', 'engineering', 'new_york']
Topic 246 ['san', 'francisco', 'diego', 'california']
Topic 247 ['book', 'library', 'author', 'free']
Topic 248 ['utah', 'lake', 'city', 'salt']
Topic 249 ['students', 'student', 'class', 'work']
Topic 250 ['carolina', 'charlotte', 'north', 'south']
