42	1	9
48	3	25
29	0	10
14	0	5
84	10	35
116	9	61
14	0	4
14	0	11
157	8	76
17	0	4
16	0	6
174	17	67
16	2	9
125	14	68
19	0	6
30	2	11
174	33	82
13	1	3
259	51	118
23	3	9
11	0	3
186	38	81
275	39	113
13	2	6
12	0	10
11	4	3
315	49	134
25	3	11
51	5	30
44	2	14
61	3	31
11	0	5
11	1	3
20	1	5
177	19	98
24	1	8
19	0	5
11	0	8
65	8	31
35	4	8
21	0	8
13	0	5
90	11	50
29	4	14
20	0	4
13	0	6
11	0	2
59	9	28
55	2	27
29	3	12
64	14	33
21	1	10
17	0	5
69	11	37
18	2	6
11	0	5
54	2	33
26	0	16
67	11	33
23	0	13
64	10	29
49	9	25
18	1	11
69	1	14
11	2	7
14	1	7
11	1	4
183	12	69
146	13	45
14	1	8
17	0	6
29	0	6
11	0	7
62	2	25
18	1	2
27	1	11
73	13	29
17	1	5
18	1	10
66	3	28
45	0	23
15	3	6
22	2	9
96	6	45
30	5	11
11	0	4
51	4	11
82	7	40
76	8	25
47	3	23
89	9	42
45	4	17
102	4	33
18	0	8
15	0	5
33	2	12
16	2	4
51	11	16
14	0	4
27	2	17
79	8	41
25	0	12
18	2	8
19	3	7
12	4	4
93	8	36
14	2	5
172	23	52
96	17	23
14	5	8
15	0	1
185	34	77
13	1	6
53	8	21
176	12	93
128	11	59
94	0	34
119	6	78
43	1	28
12	0	3
12	0	0
11	1	1
507	48	183
12	0	7
26	6	10
12	0	5
21	0	6
141	10	51
295	30	121
19	0	9
57	0	9
23	0	10
21	1	8
747	64	267
22	14	0
21	0	7
11	1	6
14	1	8
89	10	35
56	1	13
11	0	2
19	0	1
26	5	14
11	0	3
12	0	4
117	9	44
56	6	16
43	8	15
182	22	72
22	3	9
11	0	1
21	2	7
26	13	10
16	0	2
25	1	16
38	1	11
475	50	238
16	2	6
13	2	6
20	0	3
27	0	12
16	1	3
14	13	13
81	2	17
97	1	27
11	0	11
23	2	5
40	8	12
12	0	0
11	0	8
16	5	6
43	2	19
47	4	15
25	1	10
25	1	6
30	2	14
16	2	2
20	1	8
62	9	30
16	0	8
17	0	7
26	0	10
24	0	15
19	1	11
71	5	20
21	0	0
34	1	23
33	8	3
22	8	12
18	5	5
12	2	5
25	0	19
14	4	4
21	1	13
506	58	315
12	0	6
12	1	3
23	0	11
62	11	14
89	5	25
71	3	34
591	46	280
781	87	353
29	4	10
893	50	309
396	26	128
12	1	2
17	0	0
40	0	12
13	2	8
24	0	7
341	26	151
21	1	15
17	0	6
29	2	4
16	3	6
477	41	224
20	1	13
13	0	4
31	3	21
253	18	140
63	5	42
73	10	39
11	0	11
154	17	66
51	1	19
15	2	6
35	3	18
18	0	3
17	1	1
18	0	13
387	37	160
280	23	123
14	1	5
18	0	10
17	1	7
18	0	5
56	10	13
27	0	9
12	0	1
16	1	7
11	1	4
15	1	8
20	3	8
74	15	36
11	4	1
12	2	5
42	1	7
18	0	9
12	0	0
40	3	16
168	17	74
11	0	5
21	4	5
23	5	10
520	48	193
13	0	10
12	0	4
23	5	9
13	0	7
34	3	19
14	0	0
164	20	82
13	0	5
13	2	8
18	0	18
21	0	7
26	15	5
14	0	14
12	1	0
50	3	24
48	1	31
14	7	5
171	24	63
27	0	4
63	9	30
141	15	63
22	2	8
65	9	20
12	2	9
97	4	45
32	2	21
40	2	21
13	0	13
19	6	7
17	0	14
17	0	7
36	6	12
20	0	1
61	16	18
18	1	5
14	0	9
79	0	56
16	5	1
22	2	0
128	15	50
21	0	14
158	20	78
72	7	23
169	3	55
247	45	111
85	9	32
65	7	29
17	2	6
25	0	13
15	0	0
679	67	296
71	5	34
80	10	36
84	11	34
19	4	5
27	4	14
15	2	7
18	0	17
148	16	49
13	0	9
19	0	10
43	1	21
36	0	11
25	1	7
14	2	5
19	3	5
12	0	1
48	2	16
15	0	0
15	0	6
21	0	7
13	0	3
14	0	10
12	0	12
156	17	50
26	2	9
16	4	5
701	75	328
56	5	30
15	0	15
12	0	12
11	0	11
113	6	16
13	0	1
91	2	4
12	0	4
15	0	0
77	0	5
142	0	9
25	2	13
19	0	11
12	0	2
18	0	0
65	5	20
25	4	12
27	0	7
11	1	3
22	0	1
43	7	20
42	2	7
13	0	2
12	0	5
22	3	7
12	0	4
15	0	15
67	3	20
13	0	5
18	1	6
18	3	6
12	0	0
19	0	0
25	2	15
258	15	101
130	13	35
44	2	11
25	1	5
18	1	6
16	0	6
41	0	6
92	9	51
13	1	8
81	5	66
42	4	25
17	2	3
11	0	6
17	1	4
39	11	12
18	0	5
82	2	45
40	4	17
19	0	2
36	0	24
38	0	22
151	0	80
11	0	11
28	0	0
162	9	47
12	0	6
12	1	5
302	34	105
830	110	385
777	102	365
13	0	4
110	6	65
23	0	20
23	1	11
14	0	9
304	33	125
15	0	0
13	12	0
125	17	54
15	0	15
15	0	1
20	1	15
43	3	22
45	7	20
19	0	5
176	17	70
18	0	7
54	12	32
51	10	34
16	0	2
19	0	3
15	0	6
15	0	4
338	31	184
25	6	11
16	2	1
13	0	6
11	0	8
22	0	9
44	20	14
38	0	16
48	2	24
14	0	8
17	16	0
83	2	41
44	7	11
17	0	7
19	4	9
18	0	7
159	21	70
53	1	21
11	0	2
287	23	79
16	1	10
26	3	9
12	0	6
11	0	6
16	0	7
14	1	2
118	7	46
156	13	55
508	48	183
11	10	0
13	0	7
19	0	10
16	0	8
19	6	5
42	1	27
15	0	14
25	0	5
392	16	158
625	96	295
12	0	2
